worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,min_wage_standard,wage_gap,gap_percentage,is_underpaid,fair_wage_estimate,fair_wage_gap,fair_wage_gap_pct
1,Maharashtra,Textiles,Male,10th Pass,4,15410,20400,4990,24.46,True,14000,-1410,-10.07
2,Rajasthan,Leather,Male,12th Pass,21,26313,19500,-6813,-34.94,False,18000,-8313,-46.18
3,Uttar Pradesh,Agriculture,Male,12th Pass,20,26229,19500,-6729,-34.51,False,18000,-8229,-45.72
4,Tamil Nadu,Small Manufacturing,Male,5th Pass,18,12552,18000,5448,30.27,True,9000,-3552,-39.47
5,Maharashtra,Mining,Male,5th Pass,23,14761,20400,5639,27.64,True,9000,-5761,-64.01
6,Haryana,Construction,Female,Graduate,1,22205,20400,-1805,-8.85,False,32000,9795,30.61
7,Rajasthan,Agriculture,Male,10th Pass,25,23255,19500,-3755,-19.26,False,14000,-9255,-66.11
8,Tamil Nadu,Silk,Male,12th Pass,15,19491,18000,-1491,-8.28,False,18000,-1491,-8.28
9,Punjab,Manufacturing,Male,Diploma,31,34515,18500,-16015,-86.57,False,22000,-12515,-56.89
10,Punjab,Machinery,Male,12th Pass,27,21987,18500,-3487,-18.85,False,18000,-3987,-22.15
11,Maharashtra,Silk,Female,Diploma,20,22260,20400,-1860,-9.12,False,22000,-260,-1.18
12,Odisha,Retail,Male,12th Pass,10,17000,17500,500,2.86,True,18000,1000,5.56
13,Maharashtra,Agriculture,Male,12th Pass,30,25138,20400,-4738,-23.23,False,18000,-7138,-39.66
14,West Bengal,Manufacturing,Male,12th Pass,5,20460,20400,-60,-0.29,False,18000,-2460,-13.67
15,Uttar Pradesh,Textiles,Male,10th Pass,11,15514,19500,3986,20.44,True,14000,-1514,-10.81
16,Tamil Nadu,Small Manufacturing,Female,10th Pass,10,12899,18000,5101,28.34,True,14000,1101,7.86
17,Gujarat,Leather,Male,10th Pass,8,17912,21600,3688,17.07,True,14000,-3912,-27.94
18,Chhattisgarh,Food Processing,Male,12th Pass,18,27007,22500,-4507,-20.03,False,18000,-9007,-50.04
19,Maharashtra,Retail,Male,5th Pass,11,14639,20400,5761,28.24,True,9000,-5639,-62.66
20,Gujarat,Textiles,Female,12th Pass,8,14961,21600,6639,30.74,True,18000,3039,16.88
21,Rajasthan,Manufacturing,Male,5th Pass,13,11823,19500,7677,39.37,True,9000,-2823,-31.37
22,Maharashtra,Leather,Male,Diploma,22,22929,20400,-2529,-12.4,False,22000,-929,-4.22
23,Maharashtra,Retail,Male,Graduate,24,37358,20400,-16958,-83.13,False,32000,-5358,-16.74
24,Tamil Nadu,Food Processing,Male,10th Pass,10,14997,18000,3003,16.68,True,14000,-997,-7.12
25,Haryana,Leather,Male,5th Pass,33,17005,20400,3395,16.64,True,9000,-8005,-88.94
26,Maharashtra,Agriculture,Female,5th Pass,17,12309,20400,8091,39.66,True,9000,-3309,-36.77
27,Rajasthan,Construction,Male,5th Pass,24,13881,19500,5619,28.82,True,9000,-4881,-54.23
28,Uttar Pradesh,Textiles,Male,12th Pass,20,22015,19500,-2515,-12.9,False,18000,-4015,-22.31
29,Rajasthan,Machinery,Male,10th Pass,19,16277,19500,3223,16.53,True,14000,-2277,-16.26
30,Uttar Pradesh,Manufacturing,Male,5th Pass,5,11182,19500,8318,42.66,True,9000,-2182,-24.24
31,Karnataka,IT Services,Female,Illiterate,27,14498,21600,7102,32.88,True,7000,-7498,-107.11
32,Telangana,Agriculture,Female,10th Pass,21,16625,19500,2875,14.74,True,14000,-2625,-18.75
33,Tamil Nadu,Construction,Male,12th Pass,8,23229,18000,-5229,-29.05,False,18000,-5229,-29.05
34,Rajasthan,Manufacturing,Male,10th Pass,12,19687,19500,-187,-0.96,False,14000,-5687,-40.62
35,Tamil Nadu,Construction,Male,5th Pass,18,17119,18000,881,4.89,True,9000,-8119,-90.21
36,Haryana,Textiles,Female,10th Pass,12,14013,20400,6387,31.31,True,14000,-13,-0.09
37,Tamil Nadu,Construction,Male,12th Pass,21,20393,18000,-2393,-13.29,False,18000,-2393,-13.29
38,Tamil Nadu,Retail,Male,12th Pass,9,21970,18000,-3970,-22.06,False,18000,-3970,-22.06
39,Uttar Pradesh,IT Services,Female,Illiterate,26,14998,19500,4502,23.09,True,7000,-7998,-114.26
40,Maharashtra,IT Services,Female,10th Pass,7,15059,20400,5341,26.18,True,14000,-1059,-7.56
41,Chhattisgarh,Retail,Male,10th Pass,33,22983,22500,-483,-2.15,False,14000,-8983,-64.16
42,Tamil Nadu,Small Manufacturing,Female,Illiterate,0,6435,18000,11565,64.25,True,7000,565,8.07
43,Karnataka,Services,Female,Illiterate,13,8241,21600,13359,61.85,True,7000,-1241,-17.73
44,Maharashtra,IT Services,Male,12th Pass,17,18554,20400,1846,9.05,True,18000,-554,-3.08
45,Uttar Pradesh,Leather,Male,Illiterate,9,11497,19500,8003,41.04,True,7000,-4497,-64.24
46,Maharashtra,IT Services,Male,Illiterate,1,6254,20400,14146,69.34,True,7000,746,10.66
47,Uttar Pradesh,Small Manufacturing,Male,Diploma,27,27997,19500,-8497,-43.57,False,22000,-5997,-27.26
48,West Bengal,Retail,Female,Post-Graduate,13,46454,20400,-26054,-127.72,False,45000,-1454,-3.23
49,Maharashtra,Agriculture,Male,Graduate,2,26661,20400,-6261,-30.69,False,32000,5339,16.68
50,Gujarat,Manufacturing,Female,Graduate,7,24988,21600,-3388,-15.69,False,32000,7012,21.91
51,Maharashtra,IT Services,Male,Diploma,5,19667,20400,733,3.59,True,22000,2333,10.6
52,Uttar Pradesh,IT Services,Male,10th Pass,13,19229,19500,271,1.39,True,14000,-5229,-37.35
53,Haryana,Agriculture,Male,10th Pass,13,19087,20400,1313,6.44,True,14000,-5087,-36.34
54,Uttar Pradesh,Retail,Female,Illiterate,33,16616,19500,2884,14.79,True,7000,-9616,-137.37
55,Uttar Pradesh,Textiles,Male,5th Pass,31,19257,19500,243,1.25,True,9000,-10257,-113.97
56,Maharashtra,Manufacturing,Male,Diploma,27,27404,20400,-7004,-34.33,False,22000,-5404,-24.56
57,Telangana,Construction,Male,Graduate,5,37330,19500,-17830,-91.44,False,32000,-5330,-16.66
58,Uttar Pradesh,IT Services,Male,Post-Graduate,4,37065,19500,-17565,-90.08,False,45000,7935,17.63
59,Maharashtra,Small Manufacturing,Female,Diploma,4,16665,20400,3735,18.31,True,22000,5335,24.25
60,Rajasthan,Machinery,Male,12th Pass,29,30187,19500,-10687,-54.81,False,18000,-12187,-67.71
61,Rajasthan,Leather,Female,Diploma,25,25239,19500,-5739,-29.43,False,22000,-3239,-14.72
62,Tamil Nadu,Silk,Male,Illiterate,14,9582,18000,8418,46.77,True,7000,-2582,-36.89
63,Maharashtra,Construction,Male,5th Pass,13,14184,20400,6216,30.47,True,9000,-5184,-57.6
64,Maharashtra,Textiles,Male,10th Pass,25,19113,20400,1287,6.31,True,14000,-5113,-36.52
65,Karnataka,Agriculture,Male,Illiterate,6,7871,21600,13729,63.56,True,7000,-871,-12.44
66,Maharashtra,Agriculture,Male,10th Pass,20,22744,20400,-2344,-11.49,False,14000,-8744,-62.46
67,Maharashtra,Services,Male,Diploma,22,32674,20400,-12274,-60.17,False,22000,-10674,-48.52
68,Maharashtra,Services,Female,12th Pass,25,26006,20400,-5606,-27.48,False,18000,-8006,-44.48
