law_id,act_name,violation_type,evidence,gap_amount,gap_percentage,severity,applicable_rule,state_affected,worker_id,industry,education,gender
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15410 vs state minimum ₹20400,4990.0,24.46078431372549,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,1,Textiles,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12552 vs state minimum ₹18000,5448.0,30.266666666666666,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,4,Small Manufacturing,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14761 vs state minimum ₹20400,5639.0,27.6421568627451,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,5,Mining,5th Pass,Male
4,"Contract Labor (Regulation and Abolition) Act, 1970",Informal/Contract Labor Exploitation,Earning 99.1% of contract labor threshold,195.0,0.8705357142857143,CRITICAL,"Section 10-12 of Contract Labor Act, 1970",Haryana,6,Construction,Graduate,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",6595.0,22.899305555555554,HIGH,"Section 2A-2B of Industrial Disputes Act, 1947",Haryana,6,Construction,Graduate,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17000 vs state minimum ₹17500,500.0,2.857142857142857,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Odisha,12,Retail,12th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹15514 vs state minimum ₹19500,3986.0,20.44102564102564,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Uttar Pradesh,15,Textiles,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹12899 vs state minimum ₹18000,5101.0,28.338888888888892,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,16,Small Manufacturing,10th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 60.1% of male average,8570.632458966098,39.91979124629518,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Tamil Nadu,16,Small Manufacturing,10th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹17912 vs state minimum ₹21600,3688.0,17.074074074074076,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Gujarat,17,Leather,10th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14639 vs state minimum ₹20400,5761.0,28.240196078431374,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Maharashtra,19,Retail,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14961 vs state minimum ₹21600,6639.0,30.736111111111107,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Gujarat,20,Textiles,12th Pass,Female
2,"Equal Remuneration Act, 1976",Gender Wage Discrimination,Female earning 69.7% of male average,6508.632458966098,30.315528090225776,CRITICAL,"Section 5 of Equal Remuneration Act, 1976",Gujarat,20,Textiles,12th Pass,Female
7,"Industrial Disputes Act, 1947",Weak Collective Bargaining / Union Protection,"Worker earning below fair wage threshold, no union protection",1239.0,7.648148148148149,MEDIUM,"Section 2A-2B of Industrial Disputes Act, 1947",Gujarat,20,Textiles,12th Pass,Female
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹11823 vs state minimum ₹19500,7677.0,39.36923076923077,CRITICAL,"Section 3-5 of Minimum Wages Act, 1948",Rajasthan,21,Manufacturing,5th Pass,Male
1,"Minimum Wages Act, 1948",Below Minimum Wage,Earning ₹14997 vs state minimum ₹18000,3003.0,16.683333333333334,HIGH,"Section 3-5 of Minimum Wages Act, 1948",Tamil Nadu,24,Food Processing,10th Pass,Male
