Worker_ID,Industry,Skill_Level,Education_Level,Experience_Years,Employment_Type,Contract_Type,Working_Hours_Per_Day,Overtime_Hours,Productivity_Score,Region_Type,State,Cost_of_Living_Index,Minimum_Wage_Legal,Law_Revision_Year,Enforcement_Level,Actual_Wage,Written_Contract,Fair_Wage_AI,Wage_Gap,Gap_Severity,Likely_Law_Gap
50001,MSME Manufacturing,Unskilled,Diploma,3.0,Permanent,Daily,10.0,2.0,82.0,Rural,Madhya Pradesh,0.88,,,,509.0,No,,,,
50002,Leather,Unskilled,,9.0,Contract,Verbal,,,59.0,Rural,Bihar,0.82,595.0,2010.0,Strong,516.0,No,658.0,142.0,Severe,Outdated minimum wage
50003,Leather,Skilled,,,Contract,Contractor,9.0,1.0,51.0,Rural,Bihar,0.82,490.0,2015.0,Strong,299.0,,,,,
50004,Silk,Semi-skilled,ITI,18.0,Contract,Verbal,10.0,2.0,64.0,Rural,Maharashtra,1.25,,,,342.0,No,,,,
50005,Leather,Semi-skilled,ITI,9.0,Permanent,Verbal,8.0,0.0,52.0,Rural,Uttar Pradesh,0.85,377.0,2018.0,Weak,363.0,No,506.0,143.0,Severe,Outdated minimum wage
50006,MSME Manufacturing,Unskilled,None,7.0,Permanent,Verbal,8.0,0.0,48.0,Urban,Tamil Nadu,1.15,595.0,2016.0,Strong,768.0,No,875.0,107.0,Serious,Skill premium ignored
50007,Leather Tannery,Skilled,,,Contract,Verbal,9.0,1.0,92.0,Urban,Karnataka,1.1,500.0,2019.0,Weak,504.0,No,,,,
50008,Silk,Skilled,Secondary,4.0,Permanent,Verbal,12.0,4.0,62.0,Rural,Madhya Pradesh,0.88,418.0,2019.0,Medium,324.0,No,556.0,232.0,Severe,Weak enforcement
50009,Leather,Unskilled,,,Contract,Verbal,10.0,2.0,84.0,Rural,Assam,0.78,533.0,2010.0,Weak,649.0,No,,,,
50010,MSME Engineering,Semi-skilled,ITI,1.0,Permanent,Daily,9.0,1.0,49.0,Urban,Karnataka,1.1,383.0,2020.0,Weak,388.0,No,567.0,179.0,Severe,Outdated minimum wage
50011,Silk,Skilled,,9.0,Contract,Daily,11.0,3.0,54.0,Rural,Bihar,0.82,542.0,2018.0,Medium,385.0,No,647.0,262.0,Severe,Unpaid overtime
50012,Textile (Powerloom),Unskilled,None,4.0,Permanent,Daily,11.0,3.0,89.0,Urban,Telangana,1.08,405.0,2010.0,Weak,466.0,No,672.0,206.0,Severe,Informal labor exclusion
50013,Construction,Unskilled,,,Contract,Contractor,10.0,2.0,85.0,Urban,Gujarat,1.12,422.0,2015.0,Weak,455.0,,,,,
50014,Leather,Skilled,None,4.0,Permanent,Contractor,11.0,3.0,61.0,Rural,Assam,0.78,,,,559.0,,,,,
50015,MSME Manufacturing,Unskilled,None,,Permanent,Daily,9.0,1.0,66.0,Urban,Telangana,1.08,300.0,2020.0,Weak,495.0,No,,,,
50016,MSME Manufacturing,Unskilled,Primary,13.0,Contract,Verbal,10.0,2.0,50.0,Rural,Uttar Pradesh,0.85,537.0,2019.0,Strong,551.0,No,651.0,100.0,Serious,Skill premium ignored
50017,Silk,,ITI,20.0,Contract,Written,9.0,1.0,,Rural,Madhya Pradesh,0.88,479.0,2020.0,Strong,329.0,Yes,,,,
50018,Handloom Silk,Unskilled,Primary,6.0,Contract,Daily,8.0,0.0,61.0,Rural,Bihar,0.82,,,,506.0,No,,,,
50019,Leather,Unskilled,None,5.0,Permanent,Verbal,12.0,4.0,78.0,Urban,Maharashtra,1.25,572.0,2013.0,Medium,738.0,No,972.0,234.0,Severe,Outdated minimum wage
50020,Textile (Powerloom),,None,5.0,Contract,Written,11.0,3.0,,Rural,Madhya Pradesh,0.88,427.0,2010.0,Weak,347.0,Yes,,,,
50021,Leather Tannery,Unskilled,Diploma,16.0,Contract,Verbal,9.0,1.0,89.0,Rural,Bihar,0.82,,,,510.0,No,,,,
50022,Textile (Powerloom),Semi-skilled,Primary,13.0,Permanent,Written,8.0,0.0,70.0,Rural,Gujarat,1.12,519.0,2015.0,Weak,578.0,Yes,911.0,333.0,Severe,Contractor loophole
50023,Silk,Semi-skilled,Primary,14.0,Permanent,Written,9.0,1.0,92.0,Rural,Madhya Pradesh,0.88,383.0,2020.0,Medium,568.0,Yes,644.0,76.0,Serious,Skill premium ignored
