worker_id,state,industry,gender,education_level,experience_years,actual_monthly_wage,min_wage_standard,wage_gap,gap_percentage,is_underpaid,fair_wage_estimate,fair_wage_gap,fair_wage_gap_pct
1,Maharashtra,Chemicals,Male,Illiterate,25,16631,20400,3769,18.48,True,7000,-9631,-137.59
2,Haryana,Manufacturing,Female,12th Pass,23,20310,20400,90,0.44,True,18000,-2310,-12.83
3,Karnataka,Food Processing,Female,12th Pass,14,18433,21600,3167,14.66,True,18000,-433,-2.41
4,Karnataka,Small Manufacturing,Male,Diploma,29,28428,21600,-6828,-31.61,False,22000,-6428,-29.22
5,Uttar Pradesh,Construction,Male,5th Pass,13,13461,19500,6039,30.97,True,9000,-4461,-49.57
6,Karnataka,Leather,Male,5th Pass,5,8819,21600,12781,59.17,True,9000,181,2.01
7,Rajasthan,Construction,Male,Diploma,14,23929,19500,-4429,-22.71,False,22000,-1929,-8.77
8,Maharashtra,Manufacturing,Female,12th Pass,32,20818,20400,-418,-2.05,False,18000,-2818,-15.66
9,Gujarat,Agriculture,Female,10th Pass,32,18140,21600,3460,16.02,True,14000,-4140,-29.57
10,Karnataka,Silk,Female,12th Pass,11,16995,21600,4605,21.32,True,18000,1005,5.58
11,Tamil Nadu,Agriculture,Male,12th Pass,2,15998,18000,2002,11.12,True,18000,2002,11.12
12,Tamil Nadu,Silk,Female,12th Pass,32,25975,18000,-7975,-44.31,False,18000,-7975,-44.31
13,Madhya Pradesh,Machinery,Female,Graduate,4,30883,18000,-12883,-71.57,False,32000,1117,3.49
14,Karnataka,Leather,Female,12th Pass,8,18709,21600,2891,13.38,True,18000,-709,-3.94
15,Madhya Pradesh,Agriculture,Male,12th Pass,9,23087,18000,-5087,-28.26,False,18000,-5087,-28.26
16,Punjab,Services,Male,Illiterate,5,10017,18500,8483,45.85,True,7000,-3017,-43.1
17,Tamil Nadu,Agriculture,Male,5th Pass,15,14650,18000,3350,18.61,True,9000,-5650,-62.78
18,Tamil Nadu,Retail,Female,12th Pass,1,13098,18000,4902,27.23,True,18000,4902,27.23
